state,series_id,unemployment_rate,date,rank,year
Alabama,ALUR,3.1,2024-12-01,43,2024
Alaska,AKUR,4.5,2024-12-01,10,2024
Arizona,AZUR,4.1,2024-12-01,18,2024
Arkansas,ARUR,3.7,2024-12-01,29,2024
California,CAUR,5.4,2024-12-01,2,2024
Colorado,COUR,4.3,2024-12-01,13,2024
Connecticut,CTUR,3.5,2024-12-01,32,2024
Delaware,DEUR,4.0,2024-12-01,22,2024
Florida,FLUR,3.5,2024-12-01,32,2024
Georgia,GAUR,3.4,2024-12-01,35,2024
Hawaii,HIUR,2.6,2024-12-01,48,2024
Idaho,IDUR,3.7,2024-12-01,29,2024
Illinois,ILUR,4.8,2024-12-01,7,2024
Indiana,INUR,4.0,2024-12-01,22,2024
Iowa,IAUR,3.5,2024-12-01,32,2024
Kansas,KSUR,3.8,2024-12-01,26,2024
Kentucky,KYUR,4.9,2024-12-01,5,2024
Louisiana,LAUR,4.4,2024-12-01,12,2024
Maine,MEUR,3.3,2024-12-01,38,2024
Maryland,MDUR,3.4,2024-12-01,35,2024
Massachusetts,MAUR,4.1,2024-12-01,18,2024
Michigan,MIUR,5.3,2024-12-01,4,2024
Minnesota,MNUR,3.3,2024-12-01,38,2024
Mississippi,MSUR,3.8,2024-12-01,26,2024
Missouri,MOUR,3.8,2024-12-01,26,2024
Montana,MTUR,2.9,2024-12-01,46,2024
Nebraska,NEUR,2.9,2024-12-01,46,2024
Nevada,NVUR,5.4,2024-12-01,2,2024
New Hampshire,NHUR,3.0,2024-12-01,45,2024
New Jersey,NJUR,4.8,2024-12-01,7,2024
New Mexico,NMUR,4.2,2024-12-01,15,2024
New York,NYUR,4.1,2024-12-01,18,2024
North Carolina,NCUR,3.8,2024-12-01,26,2024
North Dakota,NDUR,2.5,2024-12-01,49,2024
Ohio,OHUR,4.8,2024-12-01,7,2024
Oklahoma,OKUR,3.1,2024-12-01,43,2024
Oregon,ORUR,4.7,2024-12-01,9,2024
Pennsylvania,PAUR,4.0,2024-12-01,22,2024
Rhode Island,RIUR,4.5,2024-12-01,10,2024
South Carolina,SCUR,4.2,2024-12-01,15,2024
South Dakota,SDUR,1.9,2024-12-01,51,2024
Tennessee,TNUR,3.5,2024-12-01,32,2024
Texas,TXUR,4.1,2024-12-01,18,2024
Utah,UTUR,3.3,2024-12-01,38,2024
Vermont,VTUR,2.5,2024-12-01,49,2024
Virginia,VAUR,3.1,2024-12-01,43,2024
Washington,WAUR,4.3,2024-12-01,13,2024
West Virginia,WVUR,3.9,2024-12-01,24,2024
Wisconsin,WIUR,3.2,2024-12-01,41,2024
Wyoming,WYUR,3.3,2024-12-01,38,2024
District of Columbia,DCUR,5.6,2024-12-01,1,2024
